No_Transactions,No_Orders,No_Payments,Fraud
2,2,1,FALSE
3,3,7,TRUE
5,3,2,FALSE
3,3,1,FALSE
7,7,6,TRUE
1,1,2,TRUE
2,1,2,TRUE
6,5,2,TRUE
5,2,1,FALSE
0,0,1,TRUE
6,5,1,TRUE
7,5,4,FALSE
4,4,3,FALSE
4,2,1,FALSE
5,5,2,FALSE
4,4,1,TRUE
6,3,2,FALSE
6,4,2,FALSE
2,2,1,FALSE
5,4,2,FALSE
1,1,1,FALSE
6,4,2,FALSE
4,3,1,FALSE
0,0,1,TRUE
1,1,1,FALSE
8,5,2,FALSE
2,1,1,FALSE
6,5,1,FALSE
5,3,2,FALSE
5,4,6,TRUE
2,2,1,FALSE
6,5,2,FALSE
2,1,1,TRUE
4,4,3,FALSE
0,0,0,FALSE
1,1,1,FALSE
1,1,1,FALSE
2,1,1,FALSE
0,0,0,FALSE
5,4,2,FALSE
0,0,1,TRUE
0,0,1,FALSE
8,3,1,FALSE
0,0,1,FALSE
0,0,0,FALSE
3,2,1,TRUE
7,3,2,TRUE
0,0,0,FALSE
7,5,2,FALSE
3,3,1,FALSE
7,6,3,TRUE
0,0,1,FALSE
5,4,3,FALSE
5,2,3,FALSE
0,0,0,FALSE
1,1,1,TRUE
8,5,2,FALSE
1,1,1,TRUE
3,2,1,FALSE
6,4,1,FALSE
4,4,6,TRUE
4,4,2,FALSE
6,5,2,TRUE
7,4,1,FALSE
5,3,2,TRUE
7,5,1,TRUE
1,1,3,FALSE
0,0,1,FALSE
3,3,15,TRUE
6,4,1,FALSE
0,0,0,FALSE
3,3,2,FALSE
7,5,3,FALSE
2,2,1,FALSE
5,4,2,FALSE
5,3,1,FALSE
0,0,1,FALSE
3,3,1,FALSE
7,6,2,TRUE
2,2,1,TRUE
4,4,14,TRUE
5,4,3,FALSE
0,0,2,TRUE
2,2,1,TRUE
11,8,1,TRUE
5,5,4,TRUE
0,0,1,FALSE
4,3,2,FALSE
5,4,2,TRUE
4,4,1,FALSE
6,4,1,TRUE
2,2,1,FALSE
6,5,1,FALSE
2,2,13,TRUE
2,2,1,FALSE
2,2,1,FALSE
0,0,3,TRUE
10,8,1,TRUE
10,8,5,TRUE
3,3,3,TRUE
6,4,3,FALSE
4,3,2,FALSE
1,1,4,TRUE
13,8,1,TRUE
4,4,1,TRUE
1,1,2,TRUE
5,4,3,FALSE
1,1,1,FALSE
0,0,1,TRUE
1,1,1,FALSE
5,4,2,FALSE
3,3,1,FALSE
2,2,4,TRUE
5,4,3,FALSE
1,1,1,FALSE
4,3,3,TRUE
0,0,1,FALSE
3,3,1,FALSE
2,1,3,FALSE
6,6,1,TRUE
5,5,5,TRUE
8,6,6,TRUE
0,0,1,FALSE
2,2,1,FALSE
3,3,2,FALSE
0,0,0,FALSE
4,4,1,TRUE
0,0,1,FALSE
6,4,1,FALSE
1,1,4,TRUE
5,4,2,FALSE
1,1,1,FALSE
4,1,2,FALSE
0,0,0,TRUE
5,4,1,FALSE
4,4,3,FALSE
3,3,1,TRUE
0,0,0,FALSE
4,4,2,FALSE
0,0,0,FALSE
5,4,2,FALSE
5,5,2,TRUE
6,5,3,FALSE
15,3,1,FALSE
7,6,5,TRUE
1,1,1,FALSE
5,4,2,FALSE
4,2,1,FALSE
5,5,4,FALSE
0,0,0,FALSE
0,0,0,FALSE
10,5,4,TRUE
5,3,2,FALSE
3,3,2,TRUE
5,3,1,FALSE
6,5,3,TRUE
6,5,1,FALSE
1,1,1,FALSE
5,4,2,FALSE
2,1,1,FALSE
1,1,1,TRUE
5,4,4,TRUE
3,2,1,FALSE
3,3,1,TRUE
6,5,3,TRUE
4,4,2,TRUE
8,6,6,TRUE
7,5,4,FALSE